表７－１　職種別、年齢階層別平均支給額
企業規模,計（100人以上）
職種,年齢階層,四分位,2025年４月分平均支給額「きまって支給する給与(A)」,『2025年４月分平均支給額「きまって支給する給与(A)」』の備考,2025年４月分平均支給額「きまって支給する給与のうち時間外手当(B)」,2025年４月分平均支給額「（A－B）」,2025年４月分平均支給額「（A－B）のうち通勤手当」
,,,円,,円,円,円
支店長,20歳未満,,***,,***,***,***
支店長,20歳以上24歳未満,,***,,***,***,***
支店長,24歳以上28歳未満,,***,,***,***,***
支店長,28歳以上32歳未満,,***,,***,***,***
支店長,32歳以上36歳未満,,X,,X,X,X
支店長,36歳以上40歳未満,,597031,*,0,597031,1324
支店長,40歳以上44歳未満,,705716,*,8267,697449,7344
支店長,44歳以上48歳未満,,791026,,16850,774176,19855
支店長,48歳以上52歳未満,△,807832,,12890,794942,10340
支店長,52歳以上56歳未満,◎,818933,,5552,813381,8561
支店長,56歳以上,▽,849943,,5922,844021,30916
事務部長,20歳未満,,***,,***,***,***
事務部長,20歳以上24歳未満,,***,,***,***,***
事務部長,24歳以上28歳未満,,908189,*,33544,874645,2787
事務部長,28歳以上32歳未満,,765705,*,23996,741709,6156
事務部長,32歳以上36歳未満,,738844,,12916,725928,6355
事務部長,36歳以上40歳未満,,732024,,7170,724854,12484
事務部長,40歳以上44歳未満,,815391,,9621,805770,14382
事務部長,44歳以上48歳未満,,783587,,6249,777338,13233
事務部長,48歳以上52歳未満,△,757875,,4211,753664,15010
事務部長,52歳以上56歳未満,◎,755067,,2147,752920,15404
事務部長,56歳以上,▽,759844,,1846,757998,16711
事務部次長,20歳未満,,***,,***,***,***
事務部次長,20歳以上24歳未満,,***,,***,***,***
事務部次長,24歳以上28歳未満,,X,,X,X,X
事務部次長,28歳以上32歳未満,,517399,*,15618,501781,5982
事務部次長,32歳以上36歳未満,,489155,,5754,483401,5551
事務部次長,36歳以上40歳未満,,614897,,9503,605394,11547
事務部次長,40歳以上44歳未満,,667261,,7319,659942,12030
事務部次長,44歳以上48歳未満,△,690681,,4066,686615,13012
事務部次長,48歳以上52歳未満,,685294,,4627,680667,16449
事務部次長,52歳以上56歳未満,※,685485,,3010,682475,18590
事務部次長,56歳以上,,686292,,2844,683448,18356
事務課長,20歳未満,,***,,***,***,***
事務課長,20歳以上24歳未満,,***,,***,***,***
事務課長,24歳以上28歳未満,,284652,*,21291,263361,5326
事務課長,28歳以上32歳未満,,541828,,50763,491065,5484
事務課長,32歳以上36歳未満,,582154,,31226,550928,10674
事務課長,36歳以上40歳未満,,642239,,27672,614567,14260
事務課長,40歳以上44歳未満,,629491,,16556,612935,13444
事務課長,44歳以上48歳未満,△,626500,,12140,614360,14498
事務課長,48歳以上52歳未満,◎,636536,,10440,626096,16186
事務課長,52歳以上56歳未満,▽,636379,,7136,629243,17414
事務課長,56歳以上,,642265,,7174,635091,16020
事務課長代理,20歳未満,,***,,***,***,***
事務課長代理,20歳以上24歳未満,,***,,***,***,***
事務課長代理,24歳以上28歳未満,,586415,,120431,465984,7462
事務課長代理,28歳以上32歳未満,,623974,,96675,527299,12538
事務課長代理,32歳以上36歳未満,,537194,,70125,467069,21482
事務課長代理,36歳以上40歳未満,,535986,,59869,476117,17929
事務課長代理,40歳以上44歳未満,△,541388,,51482,489906,16408
事務課長代理,44歳以上48歳未満,◎,551905,,46853,505052,25070
事務課長代理,48歳以上52歳未満,,553009,,40083,512926,25344
事務課長代理,52歳以上56歳未満,▽,559513,,38973,520540,19849
事務課長代理,56歳以上,,562197,,29950,532247,19307
事務係長,20歳未満,,***,,***,***,***
事務係長,20歳以上24歳未満,,367338,*,103654,263684,5253
事務係長,24歳以上28歳未満,,397245,,64996,332249,17256
事務係長,28歳以上32歳未満,,450829,,71828,379001,18749
事務係長,32歳以上36歳未満,,483385,,62344,421041,15250
事務係長,36歳以上40歳未満,△,496103,,64975,431128,18106
事務係長,40歳以上44歳未満,,508727,,58234,450493,19039
事務係長,44歳以上48歳未満,◎,507861,,56805,451056,20222
事務係長,48歳以上52歳未満,▽,513845,,59975,453870,19799
事務係長,52歳以上56歳未満,,515614,,55694,459920,19863
事務係長,56歳以上,,515447,,52912,462535,20560
事務主任,20歳未満,,***,,***,***,***
事務主任,20歳以上24歳未満,,281076,,27276,253800,22989
事務主任,24歳以上28歳未満,,369740,,48782,320958,14696
事務主任,28歳以上32歳未満,,416195,,65090,351105,13877
事務主任,32歳以上36歳未満,△,427546,,58585,368961,15914
事務主任,36歳以上40歳未満,,442573,,56991,385582,19006
事務主任,40歳以上44歳未満,◎,457223,,58166,399057,17285
事務主任,44歳以上48歳未満,,458658,,57508,401150,18416
事務主任,48歳以上52歳未満,▽,457520,,53578,403942,19774
事務主任,52歳以上56歳未満,,465613,,54154,411459,18744
事務主任,56歳以上,,463860,,49424,414436,16588
事務係員,20歳未満,,224062,,14819,209243,8650
事務係員,20歳以上24歳未満,,287910,,29593,258317,15957
事務係員,24歳以上28歳未満,,335673,,45290,290383,14579
事務係員,28歳以上32歳未満,△,364261,,46047,318214,14679
事務係員,32歳以上36歳未満,,380036,,46934,333102,14729
事務係員,36歳以上40歳未満,◎,395368,,43727,351641,14220
事務係員,40歳以上44歳未満,,408194,,44734,363460,15861
事務係員,44歳以上48歳未満,▽,414357,,46434,367923,15116
事務係員,48歳以上52歳未満,,410838,,43929,366909,14452
事務係員,52歳以上56歳未満,,422918,,45115,377803,15315
事務係員,56歳以上,,439645,,37838,401807,14759
工場長,20歳未満,,***,,***,***,***
工場長,20歳以上24歳未満,,***,,***,***,***
工場長,24歳以上28歳未満,,***,,***,***,***
工場長,28歳以上32歳未満,,***,,***,***,***
工場長,32歳以上36歳未満,,***,,***,***,***
工場長,36歳以上40歳未満,,592468,*,0,592468,5136
工場長,40歳以上44歳未満,,715808,*,9045,706763,2892
工場長,44歳以上48歳未満,,704823,*,1398,703425,7836
工場長,48歳以上52歳未満,,696763,,7078,689685,10208
工場長,52歳以上56歳未満,※,752528,,773,751755,13358
工場長,56歳以上,▽,798922,,4132,794790,13057
技術部長,20歳未満,,***,,***,***,***
技術部長,20歳以上24歳未満,,***,,***,***,***
技術部長,24歳以上28歳未満,,***,,***,***,***
技術部長,28歳以上32歳未満,,579915,*,0,579915,9896
技術部長,32歳以上36歳未満,,684408,*,2705,681703,3809
技術部長,36歳以上40歳未満,,672508,,26633,645875,9627
技術部長,40歳以上44歳未満,,700630,,13957,686673,6706
技術部長,44歳以上48歳未満,,726202,,9405,716797,10806
技術部長,48歳以上52歳未満,△,731506,,7240,724266,9964
技術部長,52歳以上56歳未満,◎,751222,,6270,744952,11652
技術部長,56歳以上,▽,780753,,2856,777897,12864
技術部次長,20歳未満,,***,,***,***,***
技術部次長,20歳以上24歳未満,,***,,***,***,***
技術部次長,24歳以上28歳未満,,***,,***,***,***
技術部次長,28歳以上32歳未満,,***,,***,***,***
技術部次長,32歳以上36歳未満,,515461,*,56893,458568,933
技術部次長,36歳以上40歳未満,,539754,,18150,521604,7368
技術部次長,40歳以上44歳未満,,723357,,12172,711185,16913
技術部次長,44歳以上48歳未満,,698563,,12855,685708,13851
技術部次長,48歳以上52歳未満,△,713891,,12479,701412,13816
技術部次長,52歳以上56歳未満,◎,714026,,6457,707569,16366
技術部次長,56歳以上,▽,714424,,6271,708153,15286
技術課長,20歳未満,,***,,***,***,***
技術課長,20歳以上24歳未満,,***,,***,***,***
技術課長,24歳以上28歳未満,,***,,***,***,***
技術課長,28歳以上32歳未満,,518494,,64199,454295,7531
技術課長,32歳以上36歳未満,,524213,,47516,476697,11220
技術課長,36歳以上40歳未満,,602549,,32831,569718,10892
技術課長,40歳以上44歳未満,,625693,,23099,602594,11544
技術課長,44歳以上48歳未満,△,634685,,18070,616615,11985
技術課長,48歳以上52歳未満,◎,643181,,15589,627592,12581
技術課長,52歳以上56歳未満,▽,652254,,12591,639663,13327
技術課長,56歳以上,,668189,,12894,655295,13304
技術課長代理,20歳未満,,***,,***,***,***
技術課長代理,20歳以上24歳未満,,***,,***,***,***
技術課長代理,24歳以上28歳未満,,350552,*,69890,280662,8519
技術課長代理,28歳以上32歳未満,,453860,,69872,383988,6206
技術課長代理,32歳以上36歳未満,,557715,,52790,504925,7911
技術課長代理,36歳以上40歳未満,,589565,,52036,537529,12252
技術課長代理,40歳以上44歳未満,△,572753,,51798,520955,11284
技術課長代理,44歳以上48歳未満,◎,570982,,49059,521923,11133
技術課長代理,48歳以上52歳未満,,575238,,43771,531467,15535
技術課長代理,52歳以上56歳未満,▽,591655,,37060,554595,14148
技術課長代理,56歳以上,,610097,,30222,579875,11325
技術係長,20歳未満,,***,,***,***,***
技術係長,20歳以上24歳未満,,***,,***,***,***
技術係長,24歳以上28歳未満,,357548,,58901,298647,7867
技術係長,28歳以上32歳未満,,442732,,72022,370710,13452
技術係長,32歳以上36歳未満,,514774,,91076,423698,11755
技術係長,36歳以上40歳未満,△,541830,,91338,450492,12938
技術係長,40歳以上44歳未満,,547612,,85719,461893,12318
技術係長,44歳以上48歳未満,◎,545055,,80434,464621,12426
技術係長,48歳以上52歳未満,,547802,,76572,471230,12291
技術係長,52歳以上56歳未満,▽,557899,,72407,485492,12453
技術係長,56歳以上,,554117,,67474,486643,12378
技術主任,20歳未満,,***,,***,***,***
技術主任,20歳以上24歳未満,,354972,,86233,268739,5369
技術主任,24歳以上28歳未満,,372564,,61514,311050,7047
技術主任,28歳以上32歳未満,,438605,,78445,360160,9247
