区分,役職,賃金（千円）,対前年増減率（％）,役職・非役職間賃金格差（非役職者=100）,役職・非役職間賃金格差_前年（非役職者=100）,年齢（歳）,勤続年数（年）
男女計,部長級,635.8,1.4,204.8,207.1,53.1,22.6
男女計,課長級,529.2,3.4,170.4,169.1,49.5,20.9
男女計,係長級,399.2,3.4,128.6,127.4,45.4,17.5
男女計,非役職者,310.5,2.5,100.0,100.0,41.8,10.8
男,部長級,642.4,0.9,193.4,195.5,53.1,22.9
男,課長級,541.4,3.6,163.0,160.4,49.5,21.3
男,係長級,410.9,3.7,123.7,121.7,45.3,17.8
男,非役職者,332.1,2.0,100.0,100.0,42.1,11.7
女,部長級,578.3,5.2,206.5,203.4,53.0,20.0
女,課長級,470.3,2.7,167.9,169.5,49.4,19.0
女,係長級,365.7,3.3,130.6,131.0,45.7,16.7
女,非役職者,280.1,3.6,100.0,100.0,41.3,9.7
